Asset,Asset Class,Mode,Frequency,Sharpe,Win Rate %,vs B&H %,Trades/yr,Max Drawdown %,Total Return %,B&H Return %
ABBV,stock,Academic,Daily,6.81,75.3,895.33,45,2.40,936.33,41.00
ABBV,stock,Academic,Weekly,3.76,70.3,237.03,19,7.80,278.03,41.00
ABBV,stock,Academic,Monthly,1.98,92.0,57.64,5,13.27,98.64,41.00
ABBV,stock,Realistic,Daily,5.28,75.3,452.42,102,3.40,493.42,41.00
ABBV,stock,Realistic,Weekly,1.49,70.3,20.17,32,11.22,61.16,41.00
ABBV,stock,Realistic,Monthly,0.95,92.0,4.78,9,17.18,45.77,41.00
ABBV,stock,Signal-Only,Daily,0.00,75.3,-41.00,0,0.00,0.00,41.00
ABBV,stock,Signal-Only,Weekly,0.00,70.3,-41.00,0,0.00,0.00,41.00
ABBV,stock,Signal-Only,Monthly,0.00,92.0,-41.00,0,0.00,0.00,41.00
LMT,stock,Academic,Daily,6.08,72.3,579.90,46,4.82,622.63,42.73
LMT,stock,Academic,Weekly,4.03,73.6,246.49,20,5.27,289.22,42.73
LMT,stock,Academic,Monthly,0.90,72.0,-7.07,5,24.53,35.66,42.73
LMT,stock,Realistic,Daily,5.07,72.3,341.48,109,4.82,384.22,42.73
LMT,stock,Realistic,Weekly,2.11,73.6,57.96,33,10.16,100.69,42.73
LMT,stock,Realistic,Monthly,0.45,72.0,-32.91,10,20.57,9.83,42.73
LMT,stock,Signal-Only,Daily,0.00,72.3,-42.73,0,0.00,0.00,42.73
LMT,stock,Signal-Only,Weekly,0.00,73.6,-42.73,0,0.00,0.00,42.73
LMT,stock,Signal-Only,Monthly,0.00,72.0,-42.73,0,0.00,0.00,42.73
RTX,stock,Academic,Daily,5.51,71.4,583.61,37,3.14,737.46,153.85
RTX,stock,Academic,Weekly,4.31,72.0,279.12,22,4.59,432.96,153.85
RTX,stock,Academic,Monthly,1.99,84.0,-71.92,3,6.07,81.93,153.85
RTX,stock,Realistic,Daily,4.82,71.4,346.09,94,3.42,499.94,153.85
